Fecha,Productos,Ingreso,Tienda,Ventas
25/07/2019,29,6871,1,43
26/07/2019,18,9744,1,72
27/07/2019,40,6843,1,67
28/07/2019,33,6656,1,87
29/07/2019,45,5656,1,90
30/07/2019,36,6446,1,31
31/07/2019,28,9438,1,83
01/08/2019,25,6578,1,46
02/08/2019,50,6086,1,51
03/08/2019,28,8164,1,100
04/08/2019,27,5769,1,86
05/08/2019,33,9495,1,58
06/08/2019,45,9716,1,13
07/08/2019,32,7600,1,27
08/08/2019,27,7914,1,27
09/08/2019,33,6712,1,66
10/08/2019,21,7951,1,71
11/08/2019,17,7166,1,71
12/08/2019,31,9928,1,0
13/08/2019,44,9265,1,99
14/08/2019,42,5190,1,59
15/08/2019,48,7020,1,48
16/08/2019,46,5056,1,16
17/08/2019,17,5674,1,46
18/08/2019,33,6463,1,77
19/08/2019,42,5838,1,35
20/08/2019,43,5143,1,75
21/08/2019,28,5030,1,69
22/08/2019,20,6411,1,51
23/08/2019,32,7712,1,73
24/08/2019,26,7534,1,28
25/08/2019,39,7414,1,67
26/08/2019,46,6742,1,34
27/08/2019,40,7941,1,37
28/08/2019,33,8089,1,96
29/08/2019,33,5346,1,55
30/08/2019,17,7769,1,95
31/08/2019,30,5727,1,12
01/09/2019,23,6012,1,54
02/09/2019,46,9107,1,92
03/09/2019,39,5164,1,34
04/09/2019,26,7899,1,5
05/09/2019,25,9252,1,4
06/09/2019,30,6907,1,15
07/09/2019,42,7635,1,42
08/09/2019,46,8904,1,39
09/09/2019,26,7968,1,15
10/09/2019,16,7733,1,56
11/09/2019,44,9261,1,70
12/09/2019,42,9428,1,69
13/09/2019,40,9888,1,61
14/09/2019,20,9726,1,72
15/09/2019,33,7805,1,76
16/09/2019,35,6149,1,70
17/09/2019,20,5839,1,79
18/09/2019,42,6345,1,28
19/09/2019,32,6010,1,22
20/09/2019,49,7641,1,87
21/09/2019,17,7051,1,41
22/09/2019,47,5421,1,9
23/09/2019,23,9683,1,11
24/09/2019,34,5138,1,64
25/09/2019,36,7609,1,81
26/09/2019,30,6164,1,59
27/09/2019,40,5196,1,34
28/09/2019,37,7983,1,36
29/09/2019,32,9458,1,94
30/09/2019,23,5720,1,1
01/10/2019,48,9818,1,70
02/10/2019,36,8458,1,68
03/10/2019,46,7223,1,12
04/10/2019,23,7199,1,96
05/10/2019,17,7772,1,92
06/10/2019,33,8651,1,15
07/10/2019,46,5255,1,80
08/10/2019,46,7357,1,89
09/10/2019,15,9299,1,72
10/10/2019,20,9084,1,31
11/10/2019,30,5524,1,0
12/10/2019,38,8602,1,49
13/10/2019,33,8610,1,8
14/10/2019,36,8287,1,92
15/10/2019,24,5350,1,27
16/10/2019,20,9436,1,67
17/10/2019,37,5000,1,3
18/10/2019,29,9707,1,97
19/10/2019,30,7400,1,80
20/10/2019,32,9148,1,42
21/10/2019,33,5277,1,9
22/10/2019,43,6010,1,88
23/10/2019,34,6302,1,15
24/10/2019,36,9856,1,14
25/10/2019,49,7209,1,83
26/10/2019,22,5916,1,8
27/10/2019,36,8673,1,26
28/10/2019,39,7342,1,8
29/10/2019,42,6002,1,14
30/10/2019,40,8324,1,59
31/10/2019,32,5964,1,60
01/11/2019,25,8555,1,92
02/11/2019,46,7223,1,28
03/11/2019,49,9232,1,62
04/11/2019,41,6524,1,69
05/11/2019,32,6678,1,36
06/11/2019,33,9460,1,12
07/11/2019,40,9902,1,100
08/11/2019,50,8779,1,15
09/11/2019,27,6894,1,23
10/11/2019,19,7491,1,67
11/11/2019,47,9479,1,79
12/11/2019,27,7208,1,46
13/11/2019,46,6722,1,83
14/11/2019,31,7477,1,20
15/11/2019,43,6624,1,84
16/11/2019,25,8630,1,57
17/11/2019,25,9871,1,89
18/11/2019,46,6707,1,34
19/11/2019,45,7518,1,54
20/11/2019,35,9214,1,65
21/11/2019,31,8275,1,24
22/11/2019,20,8078,1,78
23/11/2019,16,6469,1,29
24/11/2019,32,5657,1,84
25/11/2019,18,7344,1,82
26/11/2019,19,6074,1,65
27/11/2019,35,8313,1,0
28/11/2019,26,7460,1,58
29/11/2019,37,6731,1,42
30/11/2019,28,6637,1,96
01/12/2019,22,7705,1,66
02/12/2019,34,8210,1,94
03/12/2019,42,8593,1,49
04/12/2019,50,9575,1,73
05/12/2019,34,7570,1,34
06/12/2019,28,7213,1,27
07/12/2019,50,7923,1,93
08/12/2019,44,8814,1,21
09/12/2019,42,5380,1,80
10/12/2019,45,8719,1,28
11/12/2019,24,5366,1,95
12/12/2019,27,7108,1,27
13/12/2019,43,9257,1,11
14/12/2019,17,7448,1,50
15/12/2019,42,9466,1,80
16/12/2019,36,8264,1,70
17/12/2019,42,6425,1,61
18/12/2019,27,7986,1,46
19/12/2019,33,5823,1,74
20/12/2019,48,8081,1,85
21/12/2019,42,6286,1,27
22/12/2019,24,8148,1,77
23/12/2019,44,7644,1,42
24/12/2019,47,6074,1,57
25/12/2019,45,9646,1,99
26/12/2019,24,6001,1,2
27/12/2019,21,6507,1,38
28/12/2019,16,7959,1,97
29/12/2019,46,9222,1,86
30/12/2019,48,7365,1,50
31/12/2019,44,5601,1,97
01/01/2020,27,6889,1,72
02/01/2020,47,7337,1,32
03/01/2020,49,7976,1,34
04/01/2020,27,6835,1,95
05/01/2020,24,7101,1,55
06/01/2020,50,9431,1,54
07/01/2020,49,5355,1,91
08/01/2020,37,6723,1,48
09/01/2020,17,9543,1,13
10/01/2020,34,8529,1,94
11/01/2020,23,5885,1,12
12/01/2020,45,5016,1,22
13/01/2020,48,6189,1,71
14/01/2020,48,5459,1,58
15/01/2020,25,5152,1,13
16/01/2020,31,6399,1,54
17/01/2020,21,6994,1,33
18/01/2020,17,6703,1,72
19/01/2020,30,5329,1,76
20/01/2020,45,9664,1,12
21/01/2020,27,6408,1,76
22/01/2020,38,6354,1,78
23/01/2020,16,6913,1,41
24/01/2020,40,9759,1,94
25/01/2020,39,8715,1,74
26/01/2020,32,9376,1,63
27/01/2020,36,5393,1,96
28/01/2020,25,7166,1,66
29/01/2020,50,9175,1,18
30/01/2020,26,6337,1,89
31/01/2020,21,8782,1,92
01/02/2020,17,7876,1,43
02/02/2020,15,9292,1,9
03/02/2020,38,5664,1,41
04/02/2020,49,5923,1,38
05/02/2020,32,7037,1,95
06/02/2020,24,6023,1,18
07/02/2020,47,9209,1,97
08/02/2020,39,5652,1,94
09/02/2020,29,6782,1,68
10/02/2020,37,7738,1,60
11/02/2020,34,8817,1,56
12/02/2020,45,8401,1,97
13/02/2020,41,6960,1,45
14/02/2020,46,6298,1,97
15/02/2020,48,7921,1,21
16/02/2020,45,7774,1,27
17/02/2020,45,7077,1,91
18/02/2020,40,6730,1,89
19/02/2020,40,5614,1,6
20/02/2020,27,5621,1,87
21/02/2020,30,8630,1,49
22/02/2020,36,7446,1,59
23/02/2020,40,8030,1,0
24/02/2020,36,9482,1,3
25/02/2020,19,5901,1,65
26/02/2020,36,7232,1,31
27/02/2020,28,6725,1,94
28/02/2020,46,8463,1,53
29/02/2020,32,8259,1,2
01/03/2020,16,9514,1,12
02/03/2020,25,8957,1,62
03/03/2020,44,6742,1,81
04/03/2020,34,7928,1,63
05/03/2020,18,8926,1,1
06/03/2020,37,9953,1,7
07/03/2020,26,5370,1,43
08/03/2020,27,9232,1,36
09/03/2020,49,8381,1,84
10/03/2020,37,7962,1,87
11/03/2020,37,6112,1,3
12/03/2020,37,6493,1,32
13/03/2020,26,7723,1,53
14/03/2020,39,6001,1,47
15/03/2020,22,9245,1,24
16/03/2020,49,6118,1,3
17/03/2020,48,9779,1,60
18/03/2020,39,9363,1,80
19/03/2020,27,9872,1,45
20/03/2020,15,6591,1,73
21/03/2020,29,8914,1,22
22/03/2020,23,5461,1,99
23/03/2020,31,8064,1,7
24/03/2020,40,7754,1,20
25/03/2020,20,6383,1,23
26/03/2020,45,6075,1,16
27/03/2020,20,9703,1,73
28/03/2020,27,7147,1,74
29/03/2020,29,9659,1,89
30/03/2020,50,5859,1,66
31/03/2020,32,6705,1,19
01/04/2020,34,9851,1,15
02/04/2020,18,7929,1,68
03/04/2020,41,6737,1,27
04/04/2020,16,9265,1,58
05/04/2020,41,6911,1,23
06/04/2020,24,7415,1,31
07/04/2020,23,5904,1,95
08/04/2020,20,9254,1,67
09/04/2020,16,7205,1,26
10/04/2020,19,5963,1,12
11/04/2020,20,7528,1,29
12/04/2020,18,6808,1,60
13/04/2020,39,7545,1,52
14/04/2020,20,6647,1,6
15/04/2020,45,9132,1,29
16/04/2020,42,6681,1,14
17/04/2020,33,7083,1,98
18/04/2020,25,5558,1,82
19/04/2020,29,6155,1,84
20/04/2020,25,5707,1,10
21/04/2020,17,8633,1,70
22/04/2020,22,9737,1,60
23/04/2020,41,5150,1,19
24/04/2020,20,7593,1,1
25/04/2020,38,7112,1,87
26/04/2020,30,6885,1,62
27/04/2020,41,7704,1,97
28/04/2020,17,8120,1,78
29/04/2020,20,7751,1,38
30/04/2020,26,6351,1,22
01/05/2020,24,6664,1,20
02/05/2020,35,7199,1,65
03/05/2020,50,5691,1,88
04/05/2020,43,9978,1,74
05/05/2020,50,8103,1,83
06/05/2020,27,8257,1,10
07/05/2020,23,9970,1,98
08/05/2020,22,7726,1,13
09/05/2020,41,6354,1,79
10/05/2020,45,7802,1,34
11/05/2020,22,8317,1,15
12/05/2020,44,5053,1,43
13/05/2020,34,9880,1,1
14/05/2020,18,6249,1,87
15/05/2020,41,9753,1,4
16/05/2020,32,5758,1,29
17/05/2020,27,5322,1,73
18/05/2020,36,8393,1,3
19/05/2020,28,5865,1,2
20/05/2020,33,7418,1,23
21/05/2020,44,6387,1,25
22/05/2020,30,9345,1,7
23/05/2020,28,9213,1,67
24/05/2020,29,8216,1,44
25/05/2020,41,6236,1,97
26/05/2020,32,6676,1,9
27/05/2020,24,7071,1,79
28/05/2020,41,7607,1,53
29/05/2020,45,8027,1,9
30/05/2020,23,7276,1,77
31/05/2020,47,7652,1,94
01/06/2020,23,6513,1,50
02/06/2020,42,9944,1,30
03/06/2020,42,6873,1,94
04/06/2020,32,9553,1,73
05/06/2020,25,8538,1,36
06/06/2020,47,9037,1,86
07/06/2020,25,7730,1,79
08/06/2020,30,9100,1,83
09/06/2020,46,6626,1,30
10/06/2020,19,8460,1,88
11/06/2020,16,9377,1,55
12/06/2020,20,6303,1,64
13/06/2020,22,5159,1,95
14/06/2020,24,8323,1,25
15/06/2020,40,8278,1,47
16/06/2020,37,6058,1,84
17/06/2020,47,9163,1,29
18/06/2020,48,8011,1,46
19/06/2020,45,9295,1,86
20/06/2020,16,5473,1,4
21/06/2020,22,7106,1,53
22/06/2020,23,8468,1,49
23/06/2020,42,5816,1,92
24/06/2020,21,5665,1,35
25/06/2020,37,7521,1,85
26/06/2020,40,8403,1,40
27/06/2020,47,9259,1,47
28/06/2020,32,8261,1,20
29/06/2020,21,8280,1,60
30/06/2020,45,6498,1,39
01/07/2020,48,6078,1,29
02/07/2020,33,5217,1,56
03/07/2020,29,9628,1,73
04/07/2020,19,6515,1,77
05/07/2020,31,5943,1,62
06/07/2020,16,6665,1,72
07/07/2020,25,8312,1,71
08/07/2020,19,7305,1,58
09/07/2020,48,8103,1,21
10/07/2020,29,5443,1,86
11/07/2020,41,7325,1,6
12/07/2020,50,7765,1,41
13/07/2020,20,7207,1,56
14/07/2020,41,7482,1,45
15/07/2020,31,5087,1,20
16/07/2020,30,8438,1,52
17/07/2020,24,6353,1,93
18/07/2020,48,9067,1,89
19/07/2020,43,5056,1,5
20/07/2020,29,8276,1,45
21/07/2020,25,5893,1,9
22/07/2020,40,5945,1,43
23/07/2020,46,9863,1,95
24/07/2020,44,5728,1,24
25/07/2020,17,5195,1,67
26/07/2020,15,7804,1,40
27/07/2020,47,7838,1,94
28/07/2020,33,5995,1,97
29/07/2020,21,5433,1,63
30/07/2020,37,6695,1,3
31/07/2020,43,6628,1,62
01/08/2020,49,8742,1,82
02/08/2020,28,9229,1,17
03/08/2020,46,9541,1,64
04/08/2020,42,8925,1,60
05/08/2020,39,6442,1,32
06/08/2020,16,5631,1,49
07/08/2020,39,6961,1,25
08/08/2020,26,9973,1,73
09/08/2020,18,7270,1,80
10/08/2020,43,6270,1,95
11/08/2020,27,6140,1,68
12/08/2020,38,6086,1,1
13/08/2020,45,5538,1,91
14/08/2020,20,9557,1,91
15/08/2020,43,6196,1,61
16/08/2020,17,9701,1,97
17/08/2020,16,8218,1,88
18/08/2020,23,8863,1,11
19/08/2020,28,7704,1,93
20/08/2020,31,8073,1,48
21/08/2020,35,5244,1,22
22/08/2020,19,7974,1,22
23/08/2020,50,7602,1,20
24/08/2020,40,6372,1,1
25/08/2020,24,5166,1,69
26/08/2020,39,9304,1,72
27/08/2020,44,5786,1,99
28/08/2020,42,8086,1,97
29/08/2020,46,6202,1,79
30/08/2020,37,9154,1,77
31/08/2020,31,6073,1,10
01/09/2020,26,6008,1,25
02/09/2020,48,5226,1,27
03/09/2020,31,7251,1,98
04/09/2020,42,5694,1,29
05/09/2020,39,8235,1,38
06/09/2020,18,6336,1,42
07/09/2020,49,9173,1,59
08/09/2020,19,6158,1,48
09/09/2020,28,6753,1,46
10/09/2020,24,8193,1,83
11/09/2020,25,7403,1,97
12/09/2020,43,6210,1,3
13/09/2020,37,8272,1,6
14/09/2020,39,9255,1,78
15/09/2020,28,6075,1,69
16/09/2020,47,8007,1,93
17/09/2020,34,6791,1,64
18/09/2020,43,7617,1,49
19/09/2020,27,8032,1,50
20/09/2020,28,7516,1,44
21/09/2020,16,6485,1,76
22/09/2020,28,9730,1,31
23/09/2020,39,5806,1,75
24/09/2020,25,8841,1,52
25/09/2020,16,7050,1,95
26/09/2020,24,5016,1,76
27/09/2020,18,8800,1,35
28/09/2020,39,9015,1,52
29/09/2020,44,9058,1,43
30/09/2020,21,8299,1,98
01/10/2020,43,5940,1,10
02/10/2020,33,7373,1,61
03/10/2020,28,5441,1,40
04/10/2020,16,8074,1,38
05/10/2020,48,6460,1,75
06/10/2020,16,8542,1,52
07/10/2020,37,8571,1,76
08/10/2020,31,6138,1,90
09/10/2020,49,8687,1,89
10/10/2020,24,8279,1,23
11/10/2020,50,9185,1,24
12/10/2020,15,7807,1,73
13/10/2020,41,6794,1,2
14/10/2020,33,7864,1,24
15/10/2020,24,9825,1,93
16/10/2020,28,8970,1,98
17/10/2020,29,7422,1,50
18/10/2020,39,7229,1,82
19/10/2020,29,7593,1,57
20/10/2020,28,5976,1,70
21/10/2020,37,7021,1,30
22/10/2020,29,7332,1,7
23/10/2020,35,6269,1,83
24/10/2020,42,6436,1,55
25/10/2020,27,9358,1,32
26/10/2020,22,8500,1,10
27/10/2020,16,9978,1,51
28/10/2020,47,6432,1,29
29/10/2020,34,7837,1,84
30/10/2020,38,9917,1,27
31/10/2020,30,7302,1,58
01/11/2020,41,7551,1,20
02/11/2020,46,8203,1,75
03/11/2020,23,5133,1,47
04/11/2020,33,6116,1,71
05/11/2020,45,8785,1,80
06/11/2020,45,9863,1,52
07/11/2020,31,9492,1,41
08/11/2020,27,5973,1,82
09/11/2020,47,9488,1,46
10/11/2020,31,6133,1,17
11/11/2020,36,8165,1,48
12/11/2020,49,8607,1,16
13/11/2020,26,9406,1,31
14/11/2020,50,9910,1,74
15/11/2020,48,5633,1,16
16/11/2020,27,7526,1,54
17/11/2020,20,5761,1,73
18/11/2020,23,7033,1,59
19/11/2020,27,5660,1,54
20/11/2020,39,7476,1,79
21/11/2020,29,6054,1,42
22/11/2020,35,7855,1,36
23/11/2020,50,5897,1,94
24/11/2020,39,9270,1,23
25/11/2020,36,6624,1,15
26/11/2020,38,6164,1,56
27/11/2020,15,5550,1,3
28/11/2020,42,5107,1,78
29/11/2020,15,8065,1,58
30/11/2020,37,9101,1,19
01/12/2020,15,8240,1,100
02/12/2020,25,6127,1,24
03/12/2020,22,5557,1,89
04/12/2020,15,9855,1,59
05/12/2020,26,5959,1,12
06/12/2020,37,5317,1,89
07/12/2020,41,6620,1,55
08/12/2020,47,7628,1,92
09/12/2020,34,9427,1,10
10/12/2020,29,7186,1,56
11/12/2020,44,9598,1,17
12/12/2020,47,9555,1,43
13/12/2020,44,6673,1,78
14/12/2020,17,7573,1,63
15/12/2020,33,7072,1,74
16/12/2020,41,7325,1,66
17/12/2020,35,5102,1,0
18/12/2020,23,5229,1,48
19/12/2020,45,6660,1,5
20/12/2020,44,6374,1,4
21/12/2020,25,9478,1,71
22/12/2020,27,5655,1,61
23/12/2020,31,9398,1,59
24/12/2020,41,5430,1,59
25/12/2020,25,6101,1,25
26/12/2020,16,9230,1,48
27/12/2020,16,6444,1,48
28/12/2020,39,7303,1,4
29/12/2020,50,8324,1,32
30/12/2020,16,9225,1,13
31/12/2020,29,9751,1,5
01/01/2021,32,8649,1,30
02/01/2021,36,5253,1,84
03/01/2021,33,8105,1,27
04/01/2021,33,7837,1,95
05/01/2021,41,6673,1,51
06/01/2021,16,8919,1,76
07/01/2021,42,8068,1,15
08/01/2021,26,5025,1,49
09/01/2021,43,6712,1,10
10/01/2021,41,9281,1,17
11/01/2021,30,8965,1,60
12/01/2021,15,5875,1,72
13/01/2021,23,6993,1,22
14/01/2021,47,9230,1,25
15/01/2021,34,6149,1,39
16/01/2021,31,9670,1,25
17/01/2021,34,9797,1,43
18/01/2021,33,6375,1,100
19/01/2021,30,9970,1,86
20/01/2021,35,6886,1,77
21/01/2021,44,9877,1,88
22/01/2021,43,5911,1,16
23/01/2021,19,9670,1,83
24/01/2021,24,5193,1,30
25/01/2021,47,9517,1,19
26/01/2021,40,5629,1,25
27/01/2021,22,9669,1,83
28/01/2021,45,6974,1,32
29/01/2021,32,6229,1,17
30/01/2021,45,8150,1,38
31/01/2021,16,5242,1,0
01/02/2021,49,7423,1,88
02/02/2021,18,6103,1,12
03/02/2021,41,7229,1,96
04/02/2021,36,7193,1,35
05/02/2021,35,7126,1,8
06/02/2021,31,5201,1,70
07/02/2021,43,6333,1,32
08/02/2021,38,8355,1,52
09/02/2021,43,8051,1,97
10/02/2021,40,8462,1,20
11/02/2021,43,7226,1,15
12/02/2021,36,8061,1,78
13/02/2021,38,8814,1,5
14/02/2021,15,8500,1,22
15/02/2021,38,9340,1,85
16/02/2021,25,6955,1,13
17/02/2021,50,5141,1,61
18/02/2021,47,7526,1,76
19/02/2021,36,7986,1,13
20/02/2021,33,8405,1,17
21/02/2021,21,5254,1,41
22/02/2021,21,5684,1,13
23/02/2021,39,8610,1,100
24/02/2021,20,5904,1,14
25/02/2021,41,7851,1,27
26/02/2021,32,8499,1,48
27/02/2021,15,6990,1,97
28/02/2021,34,7959,1,67
01/03/2021,46,6953,1,27
02/03/2021,40,7026,1,86
03/03/2021,18,8091,1,44
04/03/2021,46,7720,1,18
05/03/2021,25,6282,1,33
06/03/2021,19,6964,1,11
07/03/2021,36,9878,1,56
08/03/2021,45,5341,1,54
09/03/2021,34,7812,1,14
10/03/2021,37,7053,1,73
11/03/2021,25,9784,1,98
12/03/2021,29,5957,1,76
13/03/2021,17,8991,1,16
14/03/2021,39,9157,1,87
15/03/2021,18,7692,1,86
16/03/2021,33,8984,1,33
17/03/2021,33,8337,1,17
18/03/2021,37,7474,1,51
19/03/2021,31,6600,1,19
20/03/2021,17,9636,1,31
21/03/2021,37,7818,1,94
22/03/2021,40,7601,1,62
23/03/2021,16,8402,1,46
24/03/2021,43,5009,1,88
25/03/2021,50,7839,1,12
26/03/2021,47,7868,1,78
27/03/2021,40,9660,1,8
28/03/2021,43,6130,1,8
29/03/2021,21,7652,1,11
30/03/2021,21,9588,1,80
31/03/2021,25,7154,1,71
01/04/2021,25,6809,1,65
02/04/2021,29,6547,1,72
03/04/2021,26,6193,1,13
04/04/2021,25,5469,1,74
05/04/2021,40,7692,1,0
06/04/2021,17,7296,1,25
07/04/2021,17,5608,1,2
08/04/2021,33,7142,1,50
09/04/2021,32,9567,1,78
10/04/2021,25,9010,1,90
11/04/2021,24,8556,1,55
12/04/2021,40,7106,1,17
13/04/2021,28,9665,1,49
14/04/2021,18,5598,1,80
15/04/2021,23,8752,1,98
16/04/2021,19,9442,1,50
17/04/2021,31,8826,1,78
18/04/2021,25,9932,1,34
19/04/2021,44,6525,1,21
20/04/2021,37,9830,1,79
21/04/2021,34,8355,1,54
22/04/2021,36,7556,1,2
23/04/2021,30,8458,1,39
24/04/2021,19,6909,1,100
25/04/2021,36,5325,1,3
26/04/2021,26,5393,1,52
27/04/2021,44,6379,1,31
28/04/2021,50,8807,1,1
29/04/2021,48,8334,1,34
30/04/2021,50,9825,1,93
01/05/2021,31,8538,1,88
02/05/2021,30,6788,1,100
03/05/2021,29,6480,1,45
04/05/2021,38,9958,1,59
05/05/2021,45,9474,1,63
06/05/2021,33,8424,1,62
07/05/2021,30,6049,1,39
08/05/2021,47,5494,1,52
09/05/2021,23,7956,1,52
10/05/2021,50,6133,1,10
11/05/2021,46,8646,1,33
12/05/2021,32,9081,1,90
13/05/2021,19,9954,1,68
14/05/2021,36,8376,1,77
15/05/2021,42,6707,1,47
16/05/2021,16,7378,1,11
17/05/2021,29,7188,1,3
18/05/2021,30,7381,1,58
19/05/2021,36,7037,1,49
20/05/2021,21,7565,1,97
